ecl,fame,C atoms
11.99999997,C12:0,12
12.88708367,C13:0,13
13.39254929,i-C14:0,14
13.61616694,2-OH C10:0,10
13.87025433,C14:0,14
14.11160099,ecl14.111,14
14.37716996,C14:1w5,14
14.41108288,i-C15:0,15
14.59491131,ai-C15:0,15
14.93180792,C15:0,15
15.37049377,ecl15.370,15
15.44345083,C15:1w5,15
15.47410348,i-C16:0/C15:1w5c,16
15.81666875,2-OH C12:0,12
15.99999994,C16:0,16
16.22061794,ecl16.220,16
16.25956136,ecl16.259,16
16.28378378,C16:1w7t,16
16.29597309,10Me-C16:0,16
16.36715211,C16:1w7c,16
16.49372169,i-C17:0,17
16.51722372,ecl16.517,17
16.71644794,ai-C17:0,17
16.82905405,C16:2w7t,16
17.01362252,C17:0,17
17.07279724,C16:2w4,16
17.12347973,3-OH C12:0,12
17.28053705,10Me-C17:0,17
17.33400305,ecl17.334,17
17.36013514,C17:1w7c/cy C17:0,16
17.4492089,ecl17.449,16
17.46999477,ecl17.469,16
17.49668167,C16:3w4,16
17.56616137,i-C18:0,18
17.63863005,C16:3w3,16
17.84384572,C16:4w3,16
17.96037127,2-OH C14:0,14
18.01939728,ecl18.019,14
18.1209797,C18:0,18
18.18614865,C18:1w9t/C16:4w1,18
18.27874873,10MeC18:0,18
18.30321551,C18:1w9c,18
18.3897792,ecl18.389,18
18.41117406,C18:1w7c,18
18.5509796,ecl18.550,18
18.59712838,C18:2w6t,18
18.70433904,ai-C19:0,19
18.85625372,C18:2w6c,18
18.88463453,ecl18.884,18
18.93030278,ecl18.930,18
18.97027184,ecl18.970,18
19,C19:0,19
19.18870205,cy C19:0,19
19.29341216,C18:3w6,18
19.47729568,i-C20:0,20
19.52632468,C18:3w4,18
19.59694372,ecl19.596,18
19.64003378,C18:3w3,18
19.9303734,C18:4w3,18
19.95073179,ecl19.950,18
19.98954539,2-OH C16:0,20
20.15337838,C18:5w3(12-15),18
20.20797466,C20:1w9c,18
20.30135651,ecl20.301,18
20.32415541,C20:2w9,20
20.54162437,ecl20.541,20
20.77309645,ecl20.773,20
20.81958985,C21:0,21
20.994,C18:5w3(12-16),18
21.045,ecl21.045,18
21.13879751,C20:3w6,20
21.17579157,ecl21.175,20
21.34303137,C20:4w6,20
21.43550444,C20:3w3,20
21.48492895,ecl21.484,20
21.72733825,C22:0,20
21.9177665,ecl21.917,20
21.98046382,C20:4w3,22
22.02387832,ecl22.023,22
22.05053511,C20:5w3,20
22.12385787,ecl22.123,20
22.18566101,22:1w11c,22
22.22893401,ecl22.228,22
22.29238579,ecl22.292,22
22.31675127,ecl22.316,22
22.56382349,C23:0/C22:2w6,23
23.03553299,ecl23.035,23
23.19299764,C22:4w6,22
23.34642882,ecl23.346,22
23.38902027,C24:0,24
23.68756162,C24:1w9c,24
23.82388864,C22:5w3,22
24.01173956,C22:6w3,22
